"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2022","112.84","111.38","114.30","109.82","53.84M","-0.67%"
"05/11/2022","113.60","113.24","116.36","113.24","37.53M","-0.69%"
"05/10/2022","114.39","115.51","116.25","112.90","39.90M","1.67%"
"05/09/2022","112.51","113.25","115.08","112.00","40.80M","-2.80%"
"05/06/2022","115.75","115.18","117.57","114.02","39.71M","-0.65%"
"05/05/2022","116.51","120.20","121.04","115.01","45.84M","-4.70%"
"05/04/2022","122.26","117.03","122.85","115.12","49.92M","4.20%"
"05/03/2022","117.33","116.43","118.44","116.03","24.97M","0.64%"
"05/02/2022","116.58","113.41","116.75","112.60","35.53M","2.16%"
"04/29/2022","114.11","116.73","117.92","113.81","42.68M","-3.72%"
"04/28/2022","118.52","116.42","119.65","114.11","48.88M","3.70%"
"04/27/2022","114.29","114.47","117.24","112.74","91.82M","-3.67%"
"04/26/2022","118.65","122.29","122.51","118.51","73.05M","-3.59%"
"04/25/2022","123.07","119.10","123.28","118.51","46.13M","2.87%"
"04/22/2022","119.64","125.00","125.40","118.92","56.88M","-4.14%"
"04/21/2022","124.81","129.25","130.10","124.53","36.45M","-2.52%"
"04/20/2022","128.04","130.89","131.40","127.50","31.70M","-1.52%"
"04/19/2022","130.01","127.69","130.33","127.00","26.49M","1.82%"
"04/18/2022","127.68","127.00","128.21","126.18","20.81M","0.75%"
"04/14/2022","126.73","130.48","130.48","126.60","31.60M","-2.43%"
"04/13/2022","129.89","128.00","130.33","127.74","27.93M","1.71%"
"04/12/2022","127.71","131.60","131.60","126.79","32.71M","-0.86%"
"04/11/2022","128.82","131.82","132.09","128.67","36.88M","-3.35%"
"04/08/2022","133.29","135.58","135.67","132.97","25.14M","-1.91%"
"04/07/2022","135.89","136.01","137.16","134.23","26.23M","-0.48%"
"04/06/2022","136.55","138.75","139.36","135.52","32.47M","-2.87%"
"04/05/2022","140.59","142.87","142.99","140.38","21.42M","-1.66%"
"04/04/2022","142.97","140.36","143.71","140.31","25.97M","2.01%"
"04/01/2022","140.15","139.50","140.47","138.31","25.94M","0.78%"
"03/31/2022","139.07","142.05","142.11","139.02","37.52M","-2.02%"
"03/30/2022","141.94","142.46","142.72","141.60","19.88M","-0.40%"
"03/29/2022","142.51","142.65","143.79","142.04","34.32M","0.74%"
"03/28/2022","141.46","140.90","142.00","139.81","35.05M","-0.15%"
"03/25/2022","141.67","141.92","142.03","139.74","24.14M","0.07%"
"03/24/2022","141.57","139.20","141.62","137.75","26.40M","2.38%"
"03/23/2022","138.28","138.70","139.59","137.84","25.15M","-1.14%"
"03/22/2022","139.87","136.10","141.05","136.10","35.50M","2.77%"
"03/21/2022","136.10","136.16","137.05","134.09","26.83M","-0.02%"
"03/18/2022","136.13","133.42","136.24","132.26","44.57M","1.71%"
"03/17/2022","133.84","133.15","134.08","132.19","28.26M","0.42%"
"03/16/2022","133.28","130.73","133.33","128.73","35.58M","3.16%"
"03/15/2022","129.20","126.98","129.85","125.72","30.92M","2.58%"
"03/14/2022","125.95","130.25","130.41","125.28","38.81M","-3.02%"
"03/11/2022","129.87","133.49","133.80","129.63","31.53M","-1.93%"
"03/10/2022","132.43","131.27","133.27","130.91","27.10M","-0.74%"
"03/09/2022","133.42","131.25","133.74","129.90","37.03M","4.97%"
"03/08/2022","127.10","126.25","131.25","125.67","40.43M","0.57%"
"03/07/2022","126.38","131.49","131.74","126.30","45.11M","-4.19%"
"03/04/2022","131.91","132.93","133.85","130.34","30.45M","-1.49%"
"03/03/2022","133.90","136.01","136.44","133.03","24.60M","-0.50%"
"03/02/2022","134.57","134.63","135.26","133.07","23.52M","0.38%"
"03/01/2022","134.06","134.88","136.26","133.22","26.50M","-0.74%"
"02/28/2022","135.06","133.05","135.75","132.59","38.86M","0.45%"
"02/25/2022","134.46","133.55","135.27","131.75","36.41M","1.33%"
"02/24/2022","132.69","124.95","133.00","124.95","54.46M","4.00%"
"02/23/2022","127.59","131.65","132.05","127.53","32.79M","-1.71%"
"02/22/2022","129.81","129.84","132.18","128.22","44.99M","-0.45%"
"02/18/2022","130.40","133.47","134.07","130.20","45.62M","-1.61%"
"02/17/2022","132.54","136.24","137.11","132.48","38.95M","-3.78%"
"02/16/2022","137.74","136.65","138.09","134.92","25.02M","0.83%"
"02/15/2022","136.61","137.57","138.11","135.82","26.71M","0.80%"
"02/14/2022","135.53","133.26","136.30","133.26","34.30M","0.93%"
"02/11/2022","134.28","138.60","139.16","133.40","39.96M","-3.13%"
"02/10/2022","138.62","139.70","141.48","137.96","39.33M","-2.10%"
"02/09/2022","141.59","140.96","142.52","140.19","40.14M","1.57%"
"02/08/2022","139.40","139.03","140.00","137.01","54.28M","0.14%"
"02/07/2022","139.20","144.25","144.25","138.90","54.97M","-2.85%"
"02/04/2022","143.29","143.44","144.88","140.51","58.00M","0.14%"
"02/03/2022","143.09","145.71","149.68","142.67","71.52M","-3.32%"
"02/02/2022","148.00","151.25","151.55","145.52","123.20M","7.53%"
"02/01/2022","137.64","137.59","137.79","134.37","68.64M","1.73%"
"01/31/2022","135.30","134.16","135.47","132.21","39.99M","1.46%"
"01/28/2022","133.35","129.66","133.36","128.49","34.36M","3.37%"
"01/27/2022","129.00","131.30","132.65","128.93","32.02M","-0.18%"
"01/26/2022","129.23","131.12","133.00","127.14","49.13M","1.80%"
"01/25/2022","126.94","128.74","129.40","126.50","46.96M","-2.95%"
"01/24/2022","130.80","125.98","131.20","124.50","76.69M","0.35%"
"01/21/2022","130.35","132.59","134.87","130.09","55.65M","-2.22%"
"01/20/2022","133.31","136.25","137.63","132.96","29.91M","-1.34%"
"01/19/2022","135.12","136.52","137.96","135.02","28.65M","-0.65%"
"01/18/2022","136.00","136.18","137.13","135.44","34.89M","-2.49%"
"01/14/2022","139.48","137.08","140.74","137.00","29.66M","0.64%"
"01/13/2022","138.59","141.54","142.85","138.41","31.44M","-2.01%"
"01/12/2022","141.43","141.15","142.61","140.69","26.11M","1.21%"
"01/11/2022","139.74","138.01","140.22","136.69","28.73M","0.77%"
"01/10/2022","138.67","135.08","138.82","133.16","44.41M","1.20%"
"01/07/2022","137.02","138.15","138.45","135.77","29.76M","-0.53%"
"01/06/2022","137.75","137.00","139.94","136.56","37.35M","-0.02%"
"01/05/2022","137.78","144.42","144.50","137.69","54.62M","-4.58%"
"01/04/2022","144.40","145.40","146.48","143.72","28.40M","-0.41%"
"01/03/2022","144.99","145.06","145.85","143.71","28.68M","0.10%"
